season,first_episode_number,first_episode_name,last_episode_number,last_episode_name
1,1,"The One Where Monica Gets a Roommate",4,"The One with George Stephanopoulos"
2,1,"The One with Ross’s New Girlfriend",7,"The One Where Ross Finds Out"
3,25,"The One at the Beach",25,"The One at the Beach"
4,24,"The One with Ross’s Wedding: Part 2",24,"The One with Ross’s Wedding: Part 2"
5,14,"The One Where Everybody Finds Out",14,"The One Where Everybody Finds Out"
6,25,"The One with the Proposal",25,"The One with the Proposal"
7,24,"The One with Monica and Chandler’s Wedding: Part 2",24,"The One with Monica and Chandler’s Wedding: Part 2"
8,24,"The One Where Rachel Has a Baby: Part 2",24,"The One Where Rachel Has a Baby: Part 2"
9,18,"The One with the Lottery",18,"The One with the Lottery"
10,17,"The Last One: Part 1",18,"The Last One: Part 2"
